Work_Order,Root_Work_Order,wo_depot,asset_depot,Asset,description,Comment on WO SiteReport,priority,job_type,Gas in Property,Component,Corrective Action,Repairs,Corrosion,Fracture,Failure,Interference,Other,status,status_date,scheduled_start,actual_finish,Location,principal_street,post_town,out_code,in_code,Lead_Id,Lead_Name,Material,Diameter
W2300029,W2300028,MOTHERWELL,MOTHERWELL,ASSET-8006,Pressure drop investigation,PE joint failure on low pressure,4,ME,NO  [Root WO: Gas in Property = YES],SERVICE PIPE,PE joint re-made,N,0,0,0,0,1,COMP,2026-05-26 19:06:50,2026-05-26 12:42:00,2026-05-26 19:06:50,LOC-MTH-342,ARGYLE STREET,MOTHERWELL,MT4,6KE,ENG011,Sandra Gillies,ST,200
W2300030,W2300027,GLASGOW,GLASGOW,ASSET-1199,Main repair following excavation,Root damage identified,4,EM,YES,SERVICE PIPE,Pipe section renewed,Y,0,0,0,0,1,CLOSE,2026-05-26 10:01:01,2026-05-26 06:22:00,2026-05-26 10:01:01,LOC-GLW-542,PRINCES STREET,GLASGOW,GL4,6JT,ENG010,Brian Thomson,PE,150
W2300031,W2300022,AYR,AYR,ASSET-0497,Meter bypass repair,PE joint failure on low pressure,4,EM,NO  [Root WO: Gas in Property = YES],SERVICE PIPE,Pipe section renewed,N,1,0,0,0,0,PEND,2026-05-26 16:06:37,2026-05-26 10:51:00,2026-05-26 16:06:37,LOC-AYR-429,CHURCH STREET,AYR,AY8,4OU,ENG002,Alistair Fraser,PE,250
W2300032,W2300031,INVERNESS,INVERNESS,ASSET-6601,Joint failure investigation,Temporary clamp applied,3,IR,NO  [Root WO: Gas in Property = YES],SERVICE PIPE,Temporary repair applied,Y,0,0,0,1,0,COMP,2026-05-27 14:03:14,2026-05-27 06:15:00,2026-05-27 14:03:14,LOC-INV-975,CHURCH STREET,INVERNESS,IN5,6AV,ENG012,Neil Forsyth,PE,32
W2300033,W2300030,DUNDEE,DUNDEE,ASSET-7587,Service pipe leak repair,Corrosion on steel riser above ground,2,ME,YES,JOINT,PE joint re-made,N,0,0,0,0,1,OPEN,2026-05-27 16:09:28,2026-05-27 10:24:00,2026-05-27 16:09:28,LOC-DND-285,VICTORIA ROAD,DUNDEE,DN5,7PY,ENG013,Lynn Murray,AC,100
W2300034,W2300025,EDINBURGH,EDINBURGH,ASSET-4998,Service pipe leak repair,Leak found at joint under pavement,1,EM,YES,MAIN,Isolation applied,Y,0,0,1,0,0,PEND,2026-05-27 16:27:00,2026-05-27 13:46:00,2026-05-27 16:27:00,LOC-EDI-868,KING STREET,EDINBURGH,ED3,4YD,ENG013,Lynn Murray,ST,150
W2300035,W2300031,MOTHERWELL,MOTHERWELL,ASSET-3657,Corrosion repair on main,PE joint failure on low pressure,2,MR,NO,JOINT,Monitor and review,N,0,0,1,0,0,COMP,2026-05-26 14:06:48,2026-05-26 11:17:00,2026-05-26 14:06:48,LOC-MTH-044,KING STREET,MOTHERWELL,MT9,7ZL,ENG008,Craig Burns,AC,63
W2300036,W2300035,GLASGOW,GLASGOW,ASSET-0312,Service riser inspection,Isolation required,1,EM,NO  [Root WO: Gas in Property = YES],MAIN,Valve replaced,Y,0,0,0,1,0,CLOSE,2026-05-26 17:11:10,2026-05-26 10:32:00,2026-05-26 17:11:10,LOC-GLW-089,HIGH STREET,GLASGOW,GL7,7ZX,ENG003,Catriona Stewart,CI,25
W2300037,W2300031,INVERNESS,INVERNESS,ASSET-5751,PE pipe section renewal,Temporary clamp applied,1,EM,NO  [Root WO: Gas in Property = YES],METER,Isolation applied,N,0,0,1,0,0,OPEN,2026-05-26 14:40:45,2026-05-26 09:07:00,2026-05-26 14:40:45,LOC-INV-549,UNION STREET,INVERNESS,IN1,9HG,ENG008,Craig Burns,ST,32
W2300038,W2300037,INVERNESS,INVERNESS,ASSET-1727,PE pipe section renewal,No visible defect found on main,1,MR,NO  [Root WO: Gas in Property = NO],JOINT,Valve replaced,N,1,0,0,0,0,CLOSE,2026-05-26 15:35:44,2026-05-26 08:25:00,2026-05-26 15:35:44,LOC-INV-499,CHURCH STREET,INVERNESS,IN8,8GV,ENG002,Alistair Fraser,AC,25
W2300039,W2300037,GLASGOW,GLASGOW,ASSET-0774,Routine repair WO,Corrosion on steel riser above ground,2,IR,YES,METER,Valve replaced,N,0,0,0,0,1,COMP,2026-05-26 17:13:50,2026-05-26 13:36:00,2026-05-26 17:13:50,LOC-GLW-947,BUCHANAN STREET,GLASGOW,GL8,8IW,ENG003,Catriona Stewart,ST,100
W2300040,W2300030,AYR,AYR,ASSET-0005,Routine repair WO,Leak found at joint under pavement,3,EM,NO  [Root WO: Gas in Property = YES],VALVE,PE joint re-made,N,1,0,0,0,0,PEND,2026-05-27 14:49:20,2026-05-27 07:05:00,2026-05-27 14:49:20,LOC-AYR-321,MARKET STREET,AYR,AY3,2SZ,ENG010,Brian Thomson,ST,150
W2300041,W2300034,MOTHERWELL,MOTHERWELL,ASSET-4985,Pressure drop investigation,Corrosion on steel riser above ground,2,EM,NO  [Root WO: Gas in Property = YES],METER,Monitor and review,N,0,1,0,0,0,CLOSE,2026-05-26 18:40:14,2026-05-26 10:37:00,2026-05-26 18:40:14,LOC-MTH-663,PRINCES STREET,MOTHERWELL,MT9,7DM,ENG002,Alistair Fraser,AC,150
W2300042,W2300033,STIRLING,STIRLING,ASSET-7078,Pressure drop investigation,Bypass valve faulty,3,ME,NO  [Root WO: Gas in Property = YES],METER,Temporary repair applied,Y,0,1,0,0,0,PEND,2026-05-26 16:13:06,2026-05-26 11:49:00,2026-05-26 16:13:06,LOC-STL-566,UNION STREET,STIRLING,ST6,9BS,ENG004,Douglas Reid,PE,25
W2300043,W2300037,PERTH,PERTH,ASSET-6648,PE pipe section renewal,No visible defect found on main,3,ME,YES,JOINT,Pipe section renewed,N,0,0,0,0,1,CLOSE,2026-05-27 12:33:53,2026-05-27 09:58:00,2026-05-27 12:33:53,LOC-PRT-454,MAIN STREET,PERTH,PR3,8VV,ENG012,Neil Forsyth,ST,100
W2300044,W2300040,MOTHERWELL,MOTHERWELL,ASSET-4728,Service pipe leak repair,Excavation required,2,MR,YES,VALVE,Section replaced with PE,N,0,0,0,1,0,COMP,2026-05-27 16:21:23,2026-05-27 13:42:00,2026-05-27 16:21:23,LOC-MTH-225,BUCHANAN STREET,MOTHERWELL,MT3,1ZM,ENG001,John MacDonald,ST,63
W2300045,W2300043,STIRLING,STIRLING,ASSET-8161,Meter bypass repair,Corrosion on steel riser above ground,4,ME,YES,RISER,Section replaced with PE,N,0,0,0,0,1,COMP,2026-05-26 13:16:41,2026-05-26 06:01:00,2026-05-26 13:16:41,LOC-STL-019,HIGH STREET,STIRLING,ST3,2HO,ENG001,John MacDonald,ST,32
W2300046,W2300045,ABERDEEN,ABERDEEN,ASSET-1306,Main repair following excavation,No visible defect found on main,2,EM,NO  [Root WO: Gas in Property = NO],JOINT,Clamp fitted,Y,1,0,0,0,0,PEND,2026-05-27 12:18:12,2026-05-27 08:17:00,2026-05-27 12:18:12,LOC-ABD-904,KING STREET,ABERDEEN,AB7,2NX,ENG006,Kevin McAllister,AC,63
W2300047,W2300040,ABERDEEN,ABERDEEN,ASSET-9190,Valve replacement,Root damage identified,3,MR,NO,RISER,Riser section replaced,N,0,0,0,0,1,OPEN,2026-05-27 15:58:03,2026-05-27 06:59:00,2026-05-27 15:58:03,LOC-ABD-624,MAIN STREET,ABERDEEN,AB8,2PS,ENG009,Lorna Mitchell,PE,63
W2300048,W2300039,GLASGOW,GLASGOW,ASSET-3674,Pressure drop investigation,Temporary clamp applied,2,IR,NO  [Root WO: Gas in Property = NO],RISER,Section replaced with PE,N,0,0,0,0,1,PEND,2026-05-26 13:13:19,2026-05-26 08:24:00,2026-05-26 13:13:19,LOC-GLW-692,MAIN STREET,GLASGOW,GL3,8WR,ENG012,Neil Forsyth,PE,100
W2300049,W2300042,MOTHERWELL,MOTHERWELL,ASSET-6174,Service riser inspection,Excavation required,3,IR,NO  [Root WO: Gas in Property = NO],VALVE,Isolation applied,N,0,0,0,1,0,PEND,2026-05-27 15:59:51,2026-05-27 12:30:00,2026-05-27 15:59:51,LOC-MTH-538,MARKET STREET,MOTHERWELL,MT8,6AV,ENG015,Diane Kerr,PE,25
W2300050,W2300046,EDINBURGH,EDINBURGH,ASSET-4067,Corrosion repair on main,No visible defect found on main,2,MR,NO  [Root WO: Gas in Property = NO],RISER,Valve replaced,Y,1,0,0,0,0,PEND,2026-05-27 17:13:53,2026-05-27 12:52:00,2026-05-27 17:13:53,LOC-EDI-762,BUCHANAN STREET,EDINBURGH,ED9,6GK,ENG011,Sandra Gillies,AC,32
W2300051,W2300048,INVERNESS,INVERNESS,ASSET-1333,Corrosion repair on main,No visible defect found on main,2,EM,NO,MAIN,Pipe section renewed,N,0,0,1,0,0,CLOSE,2026-05-26 16:10:48,2026-05-26 08:45:00,2026-05-26 16:10:48,LOC-INV-525,PRINCES STREET,INVERNESS,IN8,7QF,ENG013,Lynn Murray,CI,63
W2300052,W2300043,MOTHERWELL,MOTHERWELL,ASSET-3528,Corrosion repair on main,Leak found at joint under pavement,4,EM,YES,RISER,Temporary repair applied,Y,0,1,0,0,0,OPEN,2026-05-27 13:57:45,2026-05-27 09:49:00,2026-05-27 13:57:45,LOC-MTH-654,MAIN STREET,MOTHERWELL,MT8,5XL,ENG014,Ross Campbell,PE,150
W2300053,W2300048,MOTHERWELL,MOTHERWELL,ASSET-8868,Gas smell report investigation,PE joint failure on low pressure,4,EM,YES,JOINT,Isolation applied,N,0,1,0,0,0,OPEN,2026-05-27 12:40:51,2026-05-27 09:16:00,2026-05-27 12:40:51,LOC-MTH-799,CHURCH STREET,MOTHERWELL,MT2,7YQ,ENG005,Fiona Cameron,PE,150
W2300054,W2300046,STIRLING,STIRLING,ASSET-2925,Meter bypass repair,Leak found at joint under pavement,4,MR,NO  [Root WO: Gas in Property = YES],SERVICE PIPE,Section replaced with PE,Y,0,1,0,0,0,COMP,2026-05-27 17:35:30,2026-05-27 12:27:00,2026-05-27 17:35:30,LOC-STL-342,HIGH STREET,STIRLING,ST2,8CG,ENG008,Craig Burns,PE,150
W2300055,W2300045,AYR,AYR,ASSET-9808,Emergency service connection,Leak found at joint under pavement,4,EM,YES,MAIN,Temporary repair applied,Y,1,0,0,0,0,COMP,2026-05-27 08:34:40,2026-05-27 06:20:00,2026-05-27 08:34:40,LOC-AYR-495,ARGYLE STREET,AYR,AY2,8GC,ENG014,Ross Campbell,AC,25
W2300056,W2300054,ABERDEEN,ABERDEEN,ASSET-4569,Routine repair WO,Corrosion on steel riser above ground,3,ME,NO  [Root WO: Gas in Property = NO],SERVICE PIPE,Temporary repair applied,Y,0,1,0,0,0,OPEN,2026-05-27 14:59:24,2026-05-27 07:26:00,2026-05-27 14:59:24,LOC-ABD-392,ARGYLE STREET,ABERDEEN,AB7,7FR,ENG011,Sandra Gillies,PE,63
W2300057,W2300053,DUNDEE,DUNDEE,ASSET-8398,Routine repair WO,Bypass valve faulty,4,ME,YES,SERVICE PIPE,Isolation applied,N,0,0,1,0,0,CLOSE,2026-05-27 16:34:28,2026-05-27 08:57:00,2026-05-27 16:34:28,LOC-DND-021,BUCHANAN STREET,DUNDEE,DN7,6GG,ENG002,Alistair Fraser,PE,150
W2300058,W2300051,STIRLING,STIRLING,ASSET-6997,PE pipe section renewal,Excavation required,4,EM,NO,METER,Section replaced with PE,N,0,0,1,0,0,CLOSE,2026-05-27 19:08:19,2026-05-27 10:35:00,2026-05-27 19:08:19,LOC-STL-018,ARGYLE STREET,STIRLING,ST6,4IA,ENG014,Ross Campbell,PE,200
W2300059,W2300055,ABERDEEN,ABERDEEN,ASSET-5754,Gas smell report investigation,Root damage identified,3,EM,NO  [Root WO: Gas in Property = YES],MAIN,Temporary repair applied,N,0,0,0,0,1,PEND,2026-05-27 16:08:46,2026-05-27 07:49:00,2026-05-27 16:08:46,LOC-ABD-887,PRINCES STREET,ABERDEEN,AB1,5QP,ENG001,John MacDonald,AC,25
W2300060,W2300053,EDINBURGH,EDINBURGH,ASSET-4592,Pressure drop investigation,Temporary clamp applied,3,IR,YES,JOINT,Clamp fitted,Y,1,0,0,0,0,COMP,2026-05-27 13:13:23,2026-05-27 06:59:00,2026-05-27 13:13:23,LOC-EDI-131,VICTORIA ROAD,EDINBURGH,ED3,4VU,ENG010,Brian Thomson,ST,32
W2300061,W2300051,INVERNESS,INVERNESS,ASSET-3605,Emergency service connection,Temporary clamp applied,4,ME,NO  [Root WO: Gas in Property = YES],JOINT,Section replaced with PE,Y,1,0,0,0,0,OPEN,2026-05-26 15:55:06,2026-05-26 08:32:00,2026-05-26 15:55:06,LOC-INV-217,UNION STREET,INVERNESS,IN3,4TC,ENG007,Morag Henderson,PE,25
W2300062,W2300059,AYR,AYR,ASSET-4396,Service riser inspection,Root damage identified,4,IR,YES,RISER,Isolation applied,Y,0,0,0,1,0,PEND,2026-05-26 21:19:05,2026-05-26 13:39:00,2026-05-26 21:19:05,LOC-AYR-335,HIGH STREET,AYR,AY3,4FZ,ENG010,Brian Thomson,AC,32
W2300063,W2300061,AYR,AYR,ASSET-4079,Gas smell report investigation,No visible defect found on main,3,MR,YES,METER,Monitor and review,N,0,0,1,0,0,CLOSE,2026-05-27 12:55:39,2026-05-27 08:45:00,2026-05-27 12:55:39,LOC-AYR-682,CHURCH STREET,AYR,AY1,5CU,ENG005,Fiona Cameron,PE,250
W2300064,W2300062,PERTH,PERTH,ASSET-7031,Joint failure investigation,Customer reported smell,2,EM,NO,METER,Valve replaced,Y,0,0,0,1,0,COMP,2026-05-27 12:18:40,2026-05-27 09:24:00,2026-05-27 12:18:40,LOC-PRT-913,KING STREET,PERTH,PR7,5QS,ENG009,Lorna Mitchell,PE,32
W2300065,W2300061,PERTH,PERTH,ASSET-2319,Gas smell report investigation,Customer reported smell,2,MR,NO,METER,Temporary repair applied,Y,0,0,0,1,0,PEND,2026-05-26 19:45:22,2026-05-26 12:32:00,2026-05-26 19:45:22,LOC-PRT-797,PRINCES STREET,PERTH,PR5,6ZY,ENG002,Alistair Fraser,CI,63
W2300066,W2300057,PERTH,PERTH,ASSET-4590,Corrosion repair on main,Corrosion on steel riser above ground,1,ME,NO  [Root WO: Gas in Property = NO],RISER,Valve replaced,N,1,0,0,0,0,PEND,2026-05-27 13:09:55,2026-05-27 09:17:00,2026-05-27 13:09:55,LOC-PRT-774,BUCHANAN STREET,PERTH,PR5,1KI,ENG010,Brian Thomson,CI,100
W2300067,W2300063,INVERNESS,INVERNESS,ASSET-2894,Valve replacement,No visible defect found on main,2,ME,NO  [Root WO: Gas in Property = NO],METER,Clamp fitted,N,0,1,0,0,0,OPEN,2026-05-26 19:46:00,2026-05-26 11:20:00,2026-05-26 19:46:00,LOC-INV-124,MARKET STREET,INVERNESS,IN5,8DO,ENG006,Kevin McAllister,AC,100
W2300068,W2300060,INVERNESS,INVERNESS,ASSET-0453,Routine repair WO,PE joint failure on low pressure,2,ME,YES,SERVICE PIPE,PE joint re-made,Y,0,1,0,0,0,COMP,2026-05-27 17:31:45,2026-05-27 09:42:00,2026-05-27 17:31:45,LOC-INV-531,KING STREET,INVERNESS,IN5,9YE,ENG010,Brian Thomson,PE,63
W2300069,W2300059,ABERDEEN,ABERDEEN,ASSET-2119,Routine repair WO,Root damage identified,3,MR,NO,SERVICE PIPE,Riser section replaced,Y,0,0,0,1,0,COMP,2026-05-26 15:05:19,2026-05-26 08:01:00,2026-05-26 15:05:19,LOC-ABD-848,MARKET STREET,ABERDEEN,AB9,3EA,ENG009,Lorna Mitchell,PE,150
W2300070,W2300064,EDINBURGH,EDINBURGH,ASSET-2899,PE pipe section renewal,Root damage identified,1,ME,NO,MAIN,Riser section replaced,N,0,0,1,0,0,COMP,2026-05-26 09:51:51,2026-05-26 06:46:00,2026-05-26 09:51:51,LOC-EDI-815,MAIN STREET,EDINBURGH,ED1,3IA,ENG014,Ross Campbell,ST,150
W2300071,W2300068,EDINBURGH,EDINBURGH,ASSET-7852,Valve replacement,Temporary clamp applied,2,ME,NO  [Root WO: Gas in Property = YES],VALVE,Clamp fitted,Y,0,0,0,0,1,OPEN,2026-05-27 14:11:06,2026-05-27 09:10:00,2026-05-27 14:11:06,LOC-EDI-665,BUCHANAN STREET,EDINBURGH,ED3,5BA,ENG014,Ross Campbell,ST,32
W2300072,W2300064,PERTH,PERTH,ASSET-0527,Service pipe leak repair,No visible defect found on main,4,EM,NO  [Root WO: Gas in Property = YES],SERVICE PIPE,Riser section replaced,N,1,0,0,0,0,OPEN,2026-05-26 12:29:40,2026-05-26 10:24:00,2026-05-26 12:29:40,LOC-PRT-367,MARKET STREET,PERTH,PR3,1OD,ENG010,Brian Thomson,CI,250
