LDZ,Depot,Workstream,Engineer,Engineer Name,Team Manager Name,Workorder No.,Job Type,Job Priority,Actual Start,Actual Finish,Time On Site (HH:MM:SS),Duration (Hours)
EA,PETERBOROUGH,ROUTINE,ENG021,Rachel Davies,Mark Booker,W5600038,MR,R2,2026-05-24 11:17:00,2026-05-24 23:35:00,12:18:00,12.3
EA,PETERBOROUGH,METERING,ENG021,Rachel Davies,Mark Booker,W5600039,ME,R2,2026-05-21 06:29:00,2026-05-21 15:53:00,09:24:00,9.4
SO,SALISBURY,EMERGENCY,ENG050,Phil Hodgkins,Phil Russell,W5600040,IR,R1,2026-05-22 10:19:00,2026-05-22 23:25:00,13:06:00,13.1
NW,BLACKBURN,ROUTINE,ENG012,Brian Cook,Gary Williams,W5600041,EM,R1,2026-05-21 11:01:00,2026-05-21 23:19:00,12:18:00,12.3
WM,DUDLEY,EMERGENCY,ENG041,Una Cowling,Mark Reygate,W5600042,ME,E2,2026-05-25 07:47:00,2026-05-25 10:35:00,02:48:00,2.8
SO,PORTSMOUTH,REPAIR,ENG052,Chris Lamb,Phil Russell,W5600043,RO,M1,2026-05-27 08:18:00,2026-05-27 23:06:00,14:48:00,14.8
SE,CROYDON,ROUTINE,ENG032,Colin James,Pat Nolan,W5600044,ME,E1,2026-05-27 08:05:00,2026-05-27 23:29:00,15:24:00,15.4
WM,BIRMINGHAM,METERING,ENG043,Diane Hunt,Tom Avery,W5600045,ME,E1,2026-05-21 10:47:00,2026-05-21 21:47:00,11:00:00,11.0
SC,PAISLEY,EMERGENCY,ENG004,Douglas Reid,Graham Loan,W5600046,RO,R2,2026-05-24 06:25:00,2026-05-24 21:49:00,15:24:00,15.4
EA,BEDFORD,METERING,ENG020,Mark Holloway,Mark Booker,W5600047,RO,M1,2026-05-25 08:16:00,2026-05-25 18:46:00,10:30:00,10.5
EA,BEDFORD,METERING,ENG020,Mark Holloway,Mark Booker,W5600048,RO,R1,2026-05-23 10:30:00,2026-05-23 19:36:00,09:06:00,9.1
NE,DURHAM,METERING,ENG070,Janet Robb,Bill Tyne,W5600049,ME,E2,2026-05-22 09:10:00,2026-05-22 16:34:00,07:24:00,7.4
EA,LUTON,REPAIR,ENG020,Mark Holloway,Mark Booker,W5600050,RO,M1,2026-05-23 07:37:00,2026-05-23 17:19:00,09:42:00,9.7
NW,MANCHESTER,INSPECTION,ENG011,Karen Simmons,Gary Williams,W5600051,RO,R2,2026-05-26 11:50:00,2026-05-26 23:26:00,11:36:00,11.6
EA,LUTON,INSPECTION,ENG020,Mark Holloway,Mark Booker,W5600052,RO,M1,2026-05-22 07:21:00,2026-05-22 16:15:00,08:54:00,8.9
WM,DUDLEY,INSPECTION,ENG041,Una Cowling,Mark Reygate,W5600053,EM,R1,2026-05-27 07:38:00,2026-05-27 10:44:00,03:06:00,3.1
SC,GLASGOW,METERING,ENG005,Fiona Cameron,Gordon Shaw,W5600054,ME,M2,2026-05-26 10:44:00,2026-05-26 23:26:00,12:42:00,12.7
NW,MANCHESTER,EMERGENCY,ENG014,Alan Sharp,Dave Clarke,W5600055,RO,E2,2026-05-27 09:13:00,2026-05-27 17:07:00,07:54:00,7.9
NT,DERBY,ROUTINE,ENG062,Fred Archer,Sue Holt,W5600056,ME,E2,2026-05-27 11:17:00,2026-05-27 19:17:00,08:00:00,8.0
EA,NORWICH,ROUTINE,ENG023,Sharon King,Anne Foster,W5600057,MR,E2,2026-05-24 07:46:00,2026-05-24 23:34:00,15:48:00,15.8
SO,SALISBURY,INSPECTION,ENG052,Chris Lamb,Phil Russell,W5600058,IR,M1,2026-05-21 08:52:00,2026-05-21 14:28:00,05:36:00,5.6
WM,BIRMINGHAM,ROUTINE,ENG043,Diane Hunt,Tom Avery,W5600059,RO,E1,2026-05-24 11:26:00,2026-05-24 19:02:00,07:36:00,7.6
NW,WARRINGTON,ROUTINE,ENG010,Paul Dawson,Gary Williams,W5600060,EM,M1,2026-05-21 06:50:00,2026-05-21 14:38:00,07:48:00,7.8
NE,GATESHEAD,INSPECTION,ENG070,Janet Robb,Bill Tyne,W5600061,EM,E2,2026-05-27 10:09:00,2026-05-27 12:33:00,02:24:00,2.4
SC,EDINBURGH,ROUTINE,ENG006,Kevin McAllister,Gordon Shaw,W5600062,MR,E2,2026-05-26 06:55:00,2026-05-26 15:25:00,08:30:00,8.5
NE,MIDDLESBROUGH,METERING,ENG071,Alan Shaw,Bill Tyne,W5600063,MR,M2,2026-05-22 08:58:00,2026-05-22 22:58:00,14:00:00,14.0
EA,NORWICH,ROUTINE,ENG021,Rachel Davies,Mark Booker,W5600064,RO,E1,2026-05-24 08:47:00,2026-05-24 23:47:00,15:00:00,15.0
EA,NORWICH,EMERGENCY,ENG022,Peter Wong,Mark Booker,W5600065,RO,R2,2026-05-23 06:11:00,2026-05-23 10:53:00,04:42:00,4.7
NW,BOLTON,INSPECTION,ENG012,Brian Cook,Gary Williams,W5600066,ME,E2,2026-05-26 07:55:00,2026-05-26 10:43:00,02:48:00,2.8
SO,BOURNEMOUTH,ROUTINE,ENG050,Phil Hodgkins,Phil Russell,W5600067,ME,M2,2026-05-26 10:04:00,2026-05-26 23:46:00,13:42:00,13.7
SC,PERTH,METERING,ENG001,John MacDonald,Steven Leckie,W5600068,EM,M2,2026-05-23 07:27:00,2026-05-23 21:09:00,13:42:00,13.7
NT,DERBY,INSPECTION,ENG061,Cathy Dean,Sue Holt,W5600069,ME,M2,2026-05-27 07:28:00,2026-05-27 13:46:00,06:18:00,6.3
WM,WOLVERHAMPTON,METERING,ENG040,Wayne Edwards,Mark Reygate,W5600070,ME,E2,2026-05-26 09:03:00,2026-05-26 14:27:00,05:24:00,5.4
SO,BOURNEMOUTH,ROUTINE,ENG052,Chris Lamb,Phil Russell,W5600071,ME,E2,2026-05-24 10:28:00,2026-05-24 12:52:00,02:24:00,2.4
NW,STOCKPORT,ROUTINE,ENG010,Paul Dawson,Gary Williams,W5600072,RO,R1,2026-05-22 09:49:00,2026-05-22 22:13:00,12:24:00,12.4
NW,BOLTON,REPAIR,ENG013,Helen Morris,Dave Clarke,W5600073,IR,E2,2026-05-24 09:04:00,2026-05-24 23:58:00,14:54:00,14.9
SC,PERTH,METERING,ENG003,Catriona Stewart,Graham Loan,W5600074,RO,E1,2026-05-25 07:04:00,2026-05-25 12:34:00,05:30:00,5.5
NE,NEWCASTLE,ROUTINE,ENG070,Janet Robb,Bill Tyne,W5600075,IR,M2,2026-05-24 11:20:00,2026-05-24 14:20:00,03:00:00,3.0
WM,COVENTRY,ROUTINE,ENG042,Steve Frost,Mark Reygate,W5600076,RO,E1,2026-05-24 07:29:00,2026-05-24 11:35:00,04:05:59,4.1
NT,NOTTINGHAM,REPAIR,ENG060,Barry Noon,Sue Holt,W5600077,EM,M2,2026-05-27 11:18:00,2026-05-27 16:24:00,05:06:00,5.1
EA,IPSWICH,METERING,ENG022,Peter Wong,Mark Booker,W5600078,IR,R1,2026-05-27 08:31:00,2026-05-27 13:49:00,05:18:00,5.3
NT,DERBY,INSPECTION,ENG060,Barry Noon,Sue Holt,W5600079,ME,E2,2026-05-22 10:58:00,2026-05-22 21:10:00,10:12:00,10.2
NW,BLACKBURN,EMERGENCY,ENG011,Karen Simmons,Gary Williams,W5600080,MR,R1,2026-05-22 10:03:00,2026-05-22 19:15:00,09:12:00,9.2
NW,STOCKPORT,METERING,ENG014,Alan Sharp,Dave Clarke,W5600081,EM,E1,2026-05-21 09:40:00,2026-05-21 19:58:00,10:18:00,10.3
WM,COVENTRY,METERING,ENG042,Steve Frost,Mark Reygate,W5600082,RO,R2,2026-05-21 11:28:00,2026-05-22 00:52:00,13:24:00,13.4
SE,HORSHAM,ROUTINE,ENG031,Tracey McIntyre,Ray Ingram,W5600083,MR,R2,2026-05-26 10:52:00,2026-05-27 02:28:00,15:36:00,15.6
NW,LIVERPOOL,EMERGENCY,ENG014,Alan Sharp,Dave Clarke,W5600084,EM,R2,2026-05-25 10:13:00,2026-05-25 17:01:00,06:48:00,6.8
SO,SALISBURY,INSPECTION,ENG050,Phil Hodgkins,Phil Russell,W5600085,EM,R2,2026-05-21 08:49:00,2026-05-21 20:01:00,11:12:00,11.2
SE,HORSHAM,METERING,ENG030,Stuart Porter,Ray Ingram,W5600086,ME,E2,2026-05-25 08:55:00,2026-05-25 20:31:00,11:36:00,11.6
WM,BIRMINGHAM,METERING,ENG041,Una Cowling,Mark Reygate,W5600087,RO,R2,2026-05-22 07:08:00,2026-05-22 11:32:00,04:24:00,4.4
SC,PERTH,METERING,ENG002,Alistair Fraser,Steven Leckie,W5600088,EM,R2,2026-05-26 08:36:00,2026-05-27 00:30:00,15:54:00,15.9
NW,BLACKBURN,EMERGENCY,ENG014,Alan Sharp,Dave Clarke,W5600089,IR,E1,2026-05-27 11:02:00,2026-05-28 00:44:00,13:42:00,13.7
NW,MANCHESTER,EMERGENCY,ENG010,Paul Dawson,Gary Williams,W5600090,MR,E1,2026-05-23 10:33:00,2026-05-23 17:09:00,06:36:00,6.6
SO,PORTSMOUTH,EMERGENCY,ENG050,Phil Hodgkins,Phil Russell,W5600091,ME,M2,2026-05-25 08:52:00,2026-05-25 18:22:00,09:30:00,9.5
EA,CAMBRIDGE,EMERGENCY,ENG021,Rachel Davies,Mark Booker,W5600092,RO,R2,2026-05-21 07:58:00,2026-05-21 12:22:00,04:24:00,4.4
NE,DURHAM,REPAIR,ENG070,Janet Robb,Bill Tyne,W5600093,IR,R1,2026-05-22 08:19:00,2026-05-23 00:13:00,15:54:00,15.9
NW,MANCHESTER,INSPECTION,ENG012,Brian Cook,Gary Williams,W5600094,EM,E1,2026-05-27 08:07:00,2026-05-27 19:13:00,11:06:00,11.1
WM,WOLVERHAMPTON,ROUTINE,ENG041,Una Cowling,Mark Reygate,W5600095,ME,R2,2026-05-25 11:46:00,2026-05-25 21:16:00,09:30:00,9.5
SC,ABERDEEN,EMERGENCY,ENG005,Fiona Cameron,Gordon Shaw,W5600096,RO,M1,2026-05-26 11:05:00,2026-05-27 01:11:00,14:06:00,14.1
NE,GATESHEAD,METERING,ENG072,Liz Cooke,Bill Tyne,W5600097,ME,E2,2026-05-21 09:55:00,2026-05-21 19:19:00,09:24:00,9.4
NW,BOLTON,INSPECTION,ENG010,Paul Dawson,Gary Williams,W5600098,EM,R1,2026-05-26 08:11:00,2026-05-26 13:29:00,05:18:00,5.3
WM,WOLVERHAMPTON,INSPECTION,ENG042,Steve Frost,Mark Reygate,W5600099,EM,E2,2026-05-23 09:25:00,2026-05-23 23:31:00,14:06:00,14.1
WM,WOLVERHAMPTON,ROUTINE,ENG042,Steve Frost,Mark Reygate,W5600100,IR,M2,2026-05-26 06:20:00,2026-05-26 19:56:00,13:36:00,13.6
EA,IPSWICH,EMERGENCY,ENG023,Sharon King,Anne Foster,W5600101,EM,E1,2026-05-22 10:43:00,2026-05-23 02:13:00,15:30:00,15.5
NT,MANSFIELD,INSPECTION,ENG061,Cathy Dean,Sue Holt,W5600102,MR,E1,2026-05-22 10:32:00,2026-05-22 18:38:00,08:06:00,8.1
NE,DURHAM,INSPECTION,ENG071,Alan Shaw,Bill Tyne,W5600103,IR,M2,2026-05-21 06:36:00,2026-05-21 21:24:00,14:48:00,14.8
SO,SALISBURY,ROUTINE,ENG051,Wendy Nash,Phil Russell,W5600104,EM,R2,2026-05-24 11:41:00,2026-05-24 20:47:00,09:06:00,9.1
SE,CROYDON,REPAIR,ENG030,Stuart Porter,Ray Ingram,W5600105,EM,E2,2026-05-21 06:11:00,2026-05-21 09:47:00,03:36:00,3.6
NW,BOLTON,REPAIR,ENG014,Alan Sharp,Dave Clarke,W5600106,EM,M1,2026-05-24 07:54:00,2026-05-24 21:18:00,13:24:00,13.4
SC,INVERNESS,EMERGENCY,ENG002,Alistair Fraser,Steven Leckie,W5600107,IR,M1,2026-05-21 09:34:00,2026-05-21 21:40:00,12:06:00,12.1
WM,WOLVERHAMPTON,ROUTINE,ENG041,Una Cowling,Mark Reygate,W5600108,EM,R2,2026-05-24 10:47:00,2026-05-24 12:53:00,02:06:00,2.1
SC,EDINBURGH,REPAIR,ENG003,Catriona Stewart,Graham Loan,W5600109,RO,E2,2026-05-23 08:21:00,2026-05-23 16:21:00,08:00:00,8.0
NW,WARRINGTON,REPAIR,ENG014,Alan Sharp,Dave Clarke,W5600110,MR,E1,2026-05-24 07:50:00,2026-05-24 22:56:00,15:06:00,15.1
NT,NOTTINGHAM,ROUTINE,ENG060,Barry Noon,Sue Holt,W5600111,MR,M2,2026-05-24 08:07:00,2026-05-24 22:37:00,14:30:00,14.5
EA,IPSWICH,METERING,ENG022,Peter Wong,Mark Booker,W5600112,IR,R1,2026-05-23 07:12:00,2026-05-23 13:12:00,06:00:00,6.0
SC,INVERNESS,EMERGENCY,ENG005,Fiona Cameron,Gordon Shaw,W5600113,MR,R1,2026-05-25 08:41:00,2026-05-25 12:11:00,03:30:00,3.5
NT,NOTTINGHAM,ROUTINE,ENG060,Barry Noon,Sue Holt,W5600114,IR,R2,2026-05-26 06:15:00,2026-05-26 14:03:00,07:48:00,7.8
WM,BIRMINGHAM,METERING,ENG043,Diane Hunt,Tom Avery,W5600115,MR,R1,2026-05-26 10:51:00,2026-05-26 17:51:00,07:00:00,7.0
NW,WIGAN,INSPECTION,ENG010,Paul Dawson,Gary Williams,W5600116,ME,R1,2026-05-23 08:10:00,2026-05-23 18:40:00,10:30:00,10.5
SC,EDINBURGH,REPAIR,ENG003,Catriona Stewart,Graham Loan,W5600117,IR,R2,2026-05-21 10:13:00,2026-05-21 22:25:00,12:12:00,12.2
SC,EDINBURGH,INSPECTION,ENG004,Douglas Reid,Graham Loan,W5600118,MR,R1,2026-05-27 07:34:00,2026-05-27 16:22:00,08:48:00,8.8
SC,ABERDEEN,INSPECTION,ENG001,John MacDonald,Steven Leckie,W5600119,RO,R2,2026-05-25 11:21:00,2026-05-26 00:27:00,13:06:00,13.1
NT,LINCOLN,INSPECTION,ENG062,Fred Archer,Sue Holt,W5600120,RO,R2,2026-05-27 07:44:00,2026-05-27 12:02:00,04:18:00,4.3
SE,GUILDFORD,EMERGENCY,ENG030,Stuart Porter,Ray Ingram,W5600121,IR,M1,2026-05-24 06:14:00,2026-05-24 18:32:00,12:18:00,12.3
NT,LINCOLN,ROUTINE,ENG060,Barry Noon,Sue Holt,W5600122,MR,R2,2026-05-26 10:33:00,2026-05-26 17:03:00,06:30:00,6.5
NE,GATESHEAD,ROUTINE,ENG070,Janet Robb,Bill Tyne,W5600123,ME,R2,2026-05-23 07:32:00,2026-05-23 11:20:00,03:48:00,3.8
WM,WALSALL,EMERGENCY,ENG043,Diane Hunt,Tom Avery,W5600124,RO,R1,2026-05-24 10:41:00,2026-05-24 21:41:00,11:00:00,11.0
NW,WARRINGTON,ROUTINE,ENG013,Helen Morris,Dave Clarke,W5600125,IR,E1,2026-05-27 10:13:00,2026-05-27 13:07:00,02:54:00,2.9
NT,LINCOLN,EMERGENCY,ENG061,Cathy Dean,Sue Holt,W5600126,RO,M2,2026-05-23 06:28:00,2026-05-23 16:04:00,09:36:00,9.6
WM,DUDLEY,EMERGENCY,ENG043,Diane Hunt,Tom Avery,W5600127,IR,M1,2026-05-22 10:25:00,2026-05-22 22:13:00,11:48:00,11.8
WM,BIRMINGHAM,METERING,ENG040,Wayne Edwards,Mark Reygate,W5600128,ME,M1,2026-05-23 11:37:00,2026-05-24 01:13:00,13:36:00,13.6
WM,DUDLEY,ROUTINE,ENG041,Una Cowling,Mark Reygate,W5600129,IR,M2,2026-05-26 09:00:00,2026-05-26 14:30:00,05:30:00,5.5
NE,MIDDLESBROUGH,INSPECTION,ENG072,Liz Cooke,Bill Tyne,W5600130,RO,R2,2026-05-23 08:58:00,2026-05-23 13:04:00,04:05:59,4.1
NT,MANSFIELD,ROUTINE,ENG062,Fred Archer,Sue Holt,W5600131,MR,M1,2026-05-25 06:49:00,2026-05-25 09:07:00,02:18:00,2.3
EA,BEDFORD,REPAIR,ENG020,Mark Holloway,Mark Booker,W5600132,MR,E1,2026-05-23 06:51:00,2026-05-23 22:45:00,15:54:00,15.9
SE,CROYDON,INSPECTION,ENG033,Julie Price,Pat Nolan,W5600133,ME,E1,2026-05-24 10:28:00,2026-05-24 22:10:00,11:42:00,11.7
EA,NORWICH,REPAIR,ENG021,Rachel Davies,Mark Booker,W5600134,RO,M1,2026-05-27 08:11:00,2026-05-27 12:47:00,04:36:00,4.6
NW,WIGAN,REPAIR,ENG011,Karen Simmons,Gary Williams,W5600135,MR,M2,2026-05-25 06:41:00,2026-05-25 22:23:00,15:42:00,15.7
EA,NORWICH,ROUTINE,ENG023,Sharon King,Anne Foster,W5600136,IR,M2,2026-05-24 07:07:00,2026-05-24 22:01:00,14:54:00,14.9
SE,HORSHAM,INSPECTION,ENG031,Tracey McIntyre,Ray Ingram,W5600137,IR,M2,2026-05-24 06:49:00,2026-05-24 12:49:00,06:00:00,6.0
NE,GATESHEAD,REPAIR,ENG072,Liz Cooke,Bill Tyne,W5600138,ME,R2,2026-05-25 10:11:00,2026-05-25 15:17:00,05:06:00,5.1
NT,DERBY,REPAIR,ENG060,Barry Noon,Sue Holt,W5600139,EM,R1,2026-05-27 06:00:00,2026-05-27 09:00:00,03:00:00,3.0
SE,HORSHAM,INSPECTION,ENG031,Tracey McIntyre,Ray Ingram,W5600140,MR,M1,2026-05-22 08:34:00,2026-05-23 00:28:00,15:54:00,15.9
NW,BLACKBURN,EMERGENCY,ENG013,Helen Morris,Dave Clarke,W5600141,IR,R2,2026-05-27 11:35:00,2026-05-28 01:47:00,14:12:00,14.2
WM,DUDLEY,EMERGENCY,ENG041,Una Cowling,Mark Reygate,W5600142,RO,E2,2026-05-21 10:55:00,2026-05-21 21:31:00,10:36:00,10.6
WM,WOLVERHAMPTON,REPAIR,ENG043,Diane Hunt,Tom Avery,W5600143,ME,M1,2026-05-23 06:58:00,2026-05-23 19:58:00,13:00:00,13.0
SO,SOUTHAMPTON,METERING,ENG051,Wendy Nash,Phil Russell,W5600144,EM,R2,2026-05-27 06:18:00,2026-05-27 21:42:00,15:24:00,15.4
SC,INVERNESS,METERING,ENG006,Kevin McAllister,Gordon Shaw,W5600145,MR,M2,2026-05-27 07:01:00,2026-05-27 22:13:00,15:12:00,15.2
SO,SOUTHAMPTON,METERING,ENG051,Wendy Nash,Phil Russell,W5600146,EM,R2,2026-05-27 07:29:00,2026-05-27 16:05:00,08:36:00,8.6
WM,BIRMINGHAM,INSPECTION,ENG042,Steve Frost,Mark Reygate,W5600147,ME,M2,2026-05-26 10:59:00,2026-05-26 18:47:00,07:48:00,7.8
WM,COVENTRY,INSPECTION,ENG040,Wayne Edwards,Mark Reygate,W5600148,IR,R1,2026-05-26 07:06:00,2026-05-26 22:24:00,15:18:00,15.3
NT,NOTTINGHAM,EMERGENCY,ENG062,Fred Archer,Sue Holt,W5600149,MR,M2,2026-05-21 07:16:00,2026-05-21 10:28:00,03:12:00,3.2
NE,SUNDERLAND,ROUTINE,ENG071,Alan Shaw,Bill Tyne,W5600150,ME,E2,2026-05-23 09:04:00,2026-05-23 14:22:00,05:18:00,5.3
SE,HORSHAM,EMERGENCY,ENG030,Stuart Porter,Ray Ingram,W5600151,EM,M1,2026-05-21 07:02:00,2026-05-21 12:26:00,05:24:00,5.4
WM,STOKE,METERING,ENG042,Steve Frost,Mark Reygate,W5600152,RO,R2,2026-05-24 09:34:00,2026-05-24 14:46:00,05:12:00,5.2
SE,EASTBOURNE,METERING,ENG033,Julie Price,Pat Nolan,W5600153,MR,R2,2026-05-24 08:02:00,2026-05-24 17:02:00,09:00:00,9.0
SO,BASINGSTOKE,METERING,ENG051,Wendy Nash,Phil Russell,W5600154,MR,R1,2026-05-26 11:13:00,2026-05-26 17:37:00,06:24:00,6.4
NT,NOTTINGHAM,EMERGENCY,ENG060,Barry Noon,Sue Holt,W5600155,IR,E1,2026-05-21 09:04:00,2026-05-21 23:22:00,14:18:00,14.3
EA,IPSWICH,METERING,ENG023,Sharon King,Anne Foster,W5600156,EM,R2,2026-05-23 07:32:00,2026-05-23 18:38:00,11:06:00,11.1
NW,STOCKPORT,METERING,ENG010,Paul Dawson,Gary Williams,W5600157,ME,E1,2026-05-21 08:24:00,2026-05-21 23:12:00,14:48:00,14.8
WM,STOKE,INSPECTION,ENG040,Wayne Edwards,Mark Reygate,W5600158,MR,E2,2026-05-26 07:41:00,2026-05-26 12:53:00,05:12:00,5.2
EA,PETERBOROUGH,ROUTINE,ENG021,Rachel Davies,Mark Booker,W5600159,RO,E2,2026-05-24 10:23:00,2026-05-24 15:17:00,04:54:00,4.9
NW,STOCKPORT,INSPECTION,ENG012,Brian Cook,Gary Williams,W5600160,MR,M2,2026-05-22 11:27:00,2026-05-23 02:45:00,15:18:00,15.3
WM,COVENTRY,ROUTINE,ENG043,Diane Hunt,Tom Avery,W5600161,IR,R2,2026-05-23 10:56:00,2026-05-23 19:56:00,09:00:00,9.0
EA,PETERBOROUGH,REPAIR,ENG023,Sharon King,Anne Foster,W5600162,MR,R1,2026-05-22 08:45:00,2026-05-22 20:51:00,12:06:00,12.1
